"Nimi" "Joukkue" "Syntymäpaikka" "Kansalaisuus" "Syntymäaika" "Ikä" "Pituus" "Paino" "Maila" "KK" "VVVV" "ika" "kausi"
"1" "Aalto, Teemu" "Tappara" "Kokkola, FIN" "FIN" 1978-03-30 40 "181" "86" "R" 3 1978 37 16
"2" "Aaltonen, Miro" "Kärpät" "Joensuu, FIN" "FIN" 1993-06-07 25 "179" "77" "L" 6 1993 22 16
"3" "Ahlgren, Ville" "Ässät" "Pori, FIN" "FIN" 1993-10-06 25 "175" "78" "L" 10 1993 22 16
"4" "Aho, Sebastian" "Kärpät" "-" "FIN" 1997-07-26 21 "181" "78" "L" 7 1997 18 16
"5" "Ahonen, Ari" "Ässät" "Jyväskylä, FIN" "FIN" 1981-02-06 37 "186" "85" "L" 2 1981 34 16
"6" "Ahonen, Rony" "Lukko" "Porvoo, FIN" "FIN" 1987-01-17 31 "181" "96" "L" 1 1987 28 16
"7" "Ahtola, Jerry" "TPS" "Turku, FIN" "FIN" 1986-03-25 32 "192" "91" "L" 3 1986 29 16
"8" "Aitola, Olli*" "JYP" "Jyväskylä, FIN" "FIN" 1992-02-03 26 "186" "84" "L" 2 1992 23 16
"9" "Aittokallio, Sami" "Kärpät" "Tampere, FIN" "FIN" 1992-08-06 26 "186" "84" "L" 8 1992 23 16
"10" "Alanne, Joonas" "Pelicans" "Rovaniemi, FIN" "FIN" 1990-12-05 27 "183" "84" "L" 12 1990 25 16
"11" "Alikoski, Mikko" "KooKoo" "Oulu, FIN" "FIN" 1986-07-28 32 "171" "82" "L" 7 1986 29 16
"12" "Andersson, Niklas" "Blues" "-" "FIN" 1995-05-12 23 "175" "67" "L" 5 1995 20 16
"13" "Antonen, Joose*" "JYP" "Tampere, FIN" "FIN" 1995-04-28 23 "187" "82" "R" 4 1995 20 16
"14" "Anttila, Sami*" "Kärpät" "Oulu, FIN" "FIN" 1995-02-08 23 "171" "79" "L" 2 1995 20 16
"15" "Arkiomaa, Eetu-Ville" "Blues" "-" "FIN" 1993-08-26 25 "183" "84" "R" 8 1993 22 16
"16" "Asplund, Turo" "Lukko" "Jyväskylä, FIN" "FIN" 1985-06-08 33 "181" "94" "L" 6 1985 30 16
"17" "Auvinen, Henri" "HPK" "Jyväskylä, FIN" "FIN" 1993-02-21 25 "188" "86" "L" 2 1993 22 16
"18" "Backman, Simon" "SaiPa" "Pietarsaari, FIN" "FIN" 1984-06-12 34 "175" "82" "L" 6 1984 31 16
"19" "Ben-Amor, Semir" "Ässät" "Helsinki, FIN" "FIN" 1982-05-06 36 "184" "104" "L" 5 1982 33 16
"20" "Berger, Martin" "TPS" "Turku, FIN" "FIN" 1996-12-10 21 "182" "86" "L" 12 1996 19 16
"21" "Björninen, Hannes" "Pelicans" "Lahti, FIN" "FIN" 1995-10-19 23 "185" "86" "L" 10 1995 20 16
"22" "Blomqvist, Sami" "Sport" "Espoo, FIN" "FIN" 1990-06-12 28 "178" "84" "L" 6 1990 25 16
