"VVVV" "KK" "kausi" "n.x" "lkm.x" "syntymakuukausi.x" "pct.x" "proportion.x" "lkm.y" "syntymakuukausi.y" "n.y" "pct.y" "proportion.y" "ika" "otoksenPoikkeamaVaestosta" "otoksenPoikkeamaVaestosta2"
"1" 2002 1 2017 102 19 "1-3" 0.186274509803922 0.382352941176471 4503 "1-3" 55555 0.0810548105481055 0.239006390063901 15 0.105219699255816 0.14334655111257
"2" 2002 10 2017 102 4 "10-12" 0.0392156862745098 0.127450980392157 4770 "10-12" 55555 0.0858608586085861 0.24159841598416 15 -0.0466451723340763 -0.114147435592003
"3" 2002 11 2017 102 7 "10-12" 0.0686274509803922 0.127450980392157 4265 "10-12" 55555 0.0767707677076771 0.24159841598416 15 -0.00814331672728494 -0.114147435592003
"4" 2002 12 2017 102 2 "10-12" 0.0196078431372549 0.127450980392157 4387 "10-12" 55555 0.0789667896678967 0.24159841598416 15 -0.0593589465306418 -0.114147435592003
"5" 2002 2 2017 102 11 "1-3" 0.107843137254902 0.382352941176471 4168 "1-3" 55555 0.0750247502475025 0.239006390063901 15 0.0328183870073995 0.14334655111257
"6" 2002 3 2017 102 9 "1-3" 0.0882352941176471 0.382352941176471 4607 "1-3" 55555 0.0829268292682927 0.239006390063901 15 0.00530846484935436 0.14334655111257
"7" 2002 4 2017 102 12 "4-6" 0.117647058823529 0.274509803921569 4600 "4-6" 55555 0.0828008280082801 0.252758527585276 15 0.0348462308152493 0.0217512763362926
"8" 2002 5 2017 102 10 "4-6" 0.0980392156862745 0.274509803921569 4795 "4-6" 55555 0.0863108631086311 0.252758527585276 15 0.0117283525776434 0.0217512763362926
"9" 2002 6 2017 102 6 "4-6" 0.0588235294117647 0.274509803921569 4647 "4-6" 55555 0.0836468364683647 0.252758527585276 15 -0.0248233070566 0.0217512763362926
"10" 2002 7 2017 102 8 "7-9" 0.0784313725490196 0.215686274509804 4947 "7-9" 55555 0.0890468904689047 0.266636666366664 15 -0.0106155179198851 -0.0509503918568601
"11" 2002 8 2017 102 7 "7-9" 0.0686274509803922 0.215686274509804 4986 "7-9" 55555 0.0897488974889749 0.266636666366664 15 -0.0211214465085827 -0.0509503918568601
"12" 2002 9 2017 102 7 "7-9" 0.0686274509803922 0.215686274509804 4880 "7-9" 55555 0.0878408784087841 0.266636666366664 15 -0.0192134274283919 -0.0509503918568601
